Timestamp,Coder initials:,Article ID:,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?
3/20/17 9:53,MK,UKrIG,3/2/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".csv, .doc or .docx (Microsoft Word)",Yes,"No, only some of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/17/17 3:02,GB,bPQsF,3/3/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/14/17 19:34,MK,yhaFU,3/3/15,No - there is no data availability statement,,,,,,,,,,,
5/8/17 15:13,MK,cLVSG,3/6/15,No - there is no data availability statement,,,,,,,,,,,
4/4/17 22:21,MK,cwZzB,3/6/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
5/10/17 14:37,MK,GPpOJ,3/6/15,No - there is no data availability statement,,,,,,,,,,,
3/17/17 2:58,GB,cBoRW,3/7/15,No - there is no data availability statement,,,,,,,,,,,
3/25/17 4:22,GB,jvPew,3/8/15,No - there is no data availability statement,,,,,,,,,,,
5/17/17 17:56,MK,msAkG,3/8/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/15/17 13:57,MK,nSfjr,3/9/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.csv,Yes,"No, only some of the data appear to be available",Yes,Yes,"No, a license is not provided",
3/23/17 8:38,EC,xjXAU,3/9/15,No - there is no data availability statement,,,,,,,,,,,
5/10/17 13:30,MK,EThNz,3/11/15,No - there is no data availability statement,,,,,,,,,,,
5/10/17 13:07,MK,CfbGt,3/12/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/20/17 10:11,EC,wsvCD,3/18/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/11/17 16:20,MK,QwDLA,3/19/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A personal webpage,.csv,Yes,"Yes, all of the data appear to be available",Yes,Yes,"No, a license is not provided",
3/14/17 19:03,MK,APzhL,3/25/15,No - there is no data availability statement,,,,,,,,,,,
4/7/17 16:26,GB,pwaQT,3/26/15,No - there is no data availability statement,,,,,,,,,,,
3/23/17 8:41,EC,tEQfK,3/27/15,No - there is no data availability statement,,,,,,,,,,,
3/1/17 17:03,TH,APNGu,4/2/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/14/17 17:50,TH,xyGTH,4/3/15,Yes - the statement says that the data (or some of the data) are available,Other: database reported in another article,,,Other: another article,.pdf,Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/20/17 14:08,EC,eMizg,4/10/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/23/17 17:33,GB,vNCyj,4/13/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
4/10/17 19:50,MK,gvlOv,4/14/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Partly,No,"Yes, it is a CC-BY license",
5/17/17 17:41,MK,wbauU,4/14/15,No - there is no data availability statement,,,,,,,,,,,
3/17/17 16:53,EY,kxgUG,4/17/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",No,No,"Yes, it is a CC-BY license",
3/9/17 16:49,EY,QRyTG,4/17/15,No - there is no data availability statement,,,,,,,,,,,
3/15/17 12:59,MK,Kqcqt,4/19/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,A third party repository,.csv,Yes,"Yes, all of the data appear to be available",Yes,Yes,"No, a license is not provided",
4/7/17 17:44,GB,nmPbr,4/21/15,No - there is no data availability statement,,,,,,,,,,,
5/11/17 15:50,MK,RzJyL,4/21/15,No - there is no data availability statement,,,,,,,,,,,
3/20/17 14:11,EC,AfBAA,4/24/15,No - there is no data availability statement,,,,,,,,,,,
3/9/17 16:52,EY,IhSxo,4/26/15,No - there is no data availability statement,,,,,,,,,,,
3/14/17 18:46,MK,NfiRL,5/2/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.pdf,Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
4/12/17 10:57,EY,snzLL,5/11/15,No - there is no data availability statement,,,,,,,,,,,
4/27/17 10:13,EC,sSiKJ,5/12/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Partly,No,"Yes, it is a CC-BY license",
3/1/17 11:00,TH,KKzav,5/14/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,It is unclear if all of the data are available,No,No,"No, a license is not provided",
3/28/17 2:40,GB,Xvfpm,5/19/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".csv, .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/30/17 16:08,EY,KeKrF,5/20/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, only some of the data appear to be available",Yes,No,"No, a license is not provided",
3/19/17 13:10,EC,AxxRP,5/21/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/1/17 11:29,TH,kOToV,5/21/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.txt,Yes,"Yes, all of the data appear to be available",Partly,No,"Yes, it is a CC-BY license",
3/18/17 18:55,EC,TLGOR,5/23/15,No - there is no data availability statement,,,,,,,,,,,
3/15/17 10:14,GB,LcquD,5/27/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".csv, .sav or .sps (SPSS)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
